type;date;period1;period2;maturity;calendarCountry;businessDayConvention,;terminationDateBusinessDayConvention;dateGeneration;price;currency2
fra;14-08-08;2;5;3;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00199;-
fra;14-08-08;3;6;3;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00198;-
fra;14-08-08;4;7;3;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00197;-
fra;14-08-08;5;8;3;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00194;-
fra;14-08-08;6;9;3;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00192;-
fra;14-08-08;1;7;6;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00303;-
fra;14-08-08;2;8;6;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00302;-
fra;14-08-08;3;9;6;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00301;-
fra;14-08-08;1;4;3;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,002375;-
fra;14-08-08;2;5;3;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,002425;-
fra;14-08-08;3;6;3;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00251;-
fra;14-08-08;4;7;3;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,002625;-
fra;14-08-08;5;8;3;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,0028;-
fra;14-08-08;6;9;3;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00309;-
fra;14-08-08;1;7;6;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00335;-
fra;14-08-08;2;8;6;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,003525;-
fra;14-08-08;3;9;6;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00367;-
fra;14-08-08;1;4;3;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,00592;-
fra;14-08-08;2;5;3;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,00642;-
fra;14-08-08;3;6;3;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,00701;-
fra;14-08-08;4;7;3;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,00753;-
fra;14-08-08;5;8;3;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,0082;-
fra;14-08-08;6;9;3;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,00891;-
fra;14-08-08;1;7;6;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,00754;-
fra;14-08-08;2;8;6;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,00813;-
fra;14-08-08;3;9;6;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,00878;-
fra;14-08-08;1;4;3;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,00495;-
fra;14-08-08;2;5;3;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,0048;-
fra;14-08-08;3;6;3;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,0049;-
fra;14-08-08;4;7;3;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,0053;-
fra;14-08-08;5;8;3;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,006;-
fra;14-08-08;6;9;3;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,00685;-
